Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Kretto Syscon,Realty,54.19,-52.1,24.96,16.67,9.76,12.88,0.01,-35.22,52.11
Kridhan Infra,Construction,32.32,-9.31,9.46,-2.65,,,,557.65,38.02
Krishana Phosch.,Fertilizers & Agrochemicals,2932.87,145.03,20.59,67.99,25.29,21.74,0.93,85.89,22.57
Krishanveer Forg,Industrial Products,145.5,75.48,49.26,27.1,13.84,20.04,0,-1.95,19.25
Krishca Strapp.,Industrial Products,258.84,-12.13,,,16.55,20.37,0.76,48.34,20.74
Krishival Foods,Food Products,802.81,37.44,8.26,,10.53,14.81,0.19,97.11,39.68
Krishna Capital,Finance,8.91,-13.44,4.11,48.23,0.16,0.16,0,8.51,891
Krishna Defence,Aerospace & Defense,1619.25,93.54,97.91,,18.44,24.31,0,33.92,48.68
Krishna Fil. Ind,Industrial Products,4.67,-28.57,25.3,10.51,,100,,,
Krishna Institu.,Healthcare Services,29812.35,42.99,40.37,,18.48,15,1.4,26.29,101.62
Krishna Vent.,Realty,25,-52.7,-38.12,18.88,-7.98,-5.65,0,-75.13,
Kriti Industries,Industrial Products,419.57,-29.91,-7.71,5.54,-2.42,6.02,0.46,-25.15,
Kriti Nutrients,Agricultural Food & other Products,352.08,-22.87,16.36,11.27,18.69,24.46,0.03,22.61,10.8
Kritika Wires,Industrial Products,162.43,-24.22,26.27,18.87,11.33,15.11,0.4,23.07,18.05
KRM Ayurveda,Pharmaceuticals & Biotechnology,429.57,,,,67.86,41.83,0.69,13.98,35.5
KRN Heat Exchan,Industrial Products,6203.54,14.28,,,16.82,20.75,0.06,45.15,91.27
Kronox Lab,Chemicals & Petrochemicals,444.62,-19.17,,,32.57,43.82,0.03,5.17,17.19
Kross Ltd,Auto Components,1271.8,18.4,,,16.51,21.72,0.13,2.3,25.48
Krsnaa Diagnost.,Healthcare Services,2061.32,-10.53,20.78,,9.29,12.52,0.3,3.93,25.65
Krupalu Metals,Industrial Products,23.25,,,,42.24,26.54,0.28,30.4,50.54
Krypton Industri,Diversified,54.1,-13.27,21.91,30.14,1.24,8.36,0.68,2.1,52.52
Krystal Integrat,Commercial Services & Supplies,874.43,42.11,,,14.98,16.82,0.22,13.95,15.18
KS Smart Technlogies,"Paper, Forest & Jute Products",2941.74,349.29,,,,,,,145.99
KSB,Industrial Products,13405.37,24.84,26.08,39.35,18.26,24.52,0,6.42,46.4
KSE,Food Products,680.32,7.1,8.23,-1.19,33.98,42.92,,-0.67,5.55
KSH Internationa,Industrial Products,2533.72,,,,25.68,21.45,1.4,39.45,37.93
Kshitij Polyline,Chemicals & Petrochemicals,41.8,-23.23,-48.05,-7.07,-24,-10.76,0.19,-23.89,
Ksolves India,IT - Software,720.39,-24.49,11.04,52.04,153.9,157.26,0.08,13.71,23.62
KSR Footwear,Commercial Services & Supplies,55.02,,,,,,0.44,,
Kuantum Papers,"Paper, Forest & Jute Products",781.79,-13.74,-9.45,10.72,10.07,11.36,0.56,-5.23,14.55
Kuber Udyog,Finance,4.75,-9.48,139.36,85.53,0.8,3.83,0.73,36,23.75
Kuberan Global,Other Consumer Services,8.5,26.57,33.79,,-18.62,-18.22,0.02,-98.96,
Kumbhat Fin.,Finance,9.89,3.98,20.34,36.76,34.3,20.67,2.73,428.57,7.55
Kundan Edifice,Consumer Durables,83.2,-33.06,,,21.64,22.95,0.72,15.67,9.49
Kunststoff Inds.,Industrial Products,16.62,9.64,0.79,-1.49,7.07,17.04,0,-3.71,16.46
Kush Industries,Textiles & Apparels,9.78,-29.01,5.95,29.21,,-2.4,,-98.48,
Kuwer Industries,Chemicals & Petrochemicals,8.4,-20.53,3.68,18.49,2.96,6.45,2.03,-1.2,93.33
KVS Castings,Industrial Products,93.58,,,,22.02,27.96,0.53,-7.34,12.18
Kwality Pharma,Pharmaceuticals & Biotechnology,1614.38,138.32,68.11,92.74,16.31,18.4,0.38,33.23,28.25
Kwality Wall's,Food Products,6137.13,,,,-64.67,,0,,
L G Balakrishnan,Auto Components,6212.32,62.18,41.44,44.38,16.06,19.86,0.09,16.44,19.29
L T Foods,Agricultural Food & other Products,13969.99,18.48,59.55,50.36,16.7,19.18,0.43,20.4,21.49
L. T. Elevator,Industrial Manufacturing,361.22,,,,31.83,32.96,0.07,40.81,25.24
L.K.Mehta Poly.,Industrial Products,16.89,-24.09,,,8.44,10.59,0.58,2.37,25.98
L&T Finance Ltd,Finance,71089.37,110.75,46.56,21.51,10.79,8.71,3.72,10.43,25.11
L&T Technology,IT - Services,37230.08,-22.52,-2.15,6.38,22.16,28.29,0.1,14.92,29
La Opala RG,Consumer Durables,2290.49,1.6,-16.07,-1.37,10.93,15.43,0.01,-5.78,22.19
La Tim Metal & I,Metals & Minerals Trading,138.99,-15.62,16.32,27.89,-1.44,3,0.62,28.9,
Labelkraft Tech.,"Paper, Forest & Jute Products",18.17,-9.68,,,10.88,14.06,0.2,5.39,13.46
Lactose (India),Pharmaceuticals & Biotechnology,120.24,-15.48,27.49,26.92,9.69,12.87,0.87,23.1,24.89
Ladam Affordab.,Realty,13.29,8.04,18.17,17.08,-0.2,-0.07,0.46,-100,
Ladderup Finance,Finance,55.08,16.9,39.71,28.7,1.89,8.19,0.31,10.95,34
Laddu Gopal,Realty,14.42,-62.72,-56.42,-37.5,2.44,3.31,0.03,,36.05
Laffans Petroch,Chemicals & Petrochemicals,27.2,3.79,-4.47,14.53,1.69,2.3,0.01,-50.57,22.11
Lagnam Spintex,Textiles & Apparels,130.84,-27.22,12.25,37.71,11.26,9.85,3.21,-0.7,8.97
Lahoti Overseas,Commercial Services & Supplies,141.19,38.36,21.81,26.47,6.73,10.89,0.12,-16.29,8.21
Lak. Electrical,Electrical Equipment,184.51,-13.5,-1.16,19.38,1.32,2.3,0.05,5.11,67.83
Lak. Fin. & Indl,Finance,41.36,-19.76,10.21,11.73,6.21,4.28,0,-35.47,34.47
Lak. Prec. Screw,Auto Components,5.44,-7.79,-0.86,-0.52,-90.57,0.28,11.16,-6.06,
Lake Shore,Food Products,27.09,77.74,40.17,35.41,3.68,4.89,0,,61.57
Lakhotia Poly.,Textiles & Apparels,60.33,51.58,38.04,47.22,49.88,38.57,0.64,-49.85,9.71
Lakshmi Engg.,Industrial Manufacturing,126.79,-4.73,40.28,30.89,4.01,5.84,0.53,5.28,91.88
Lakshmi Mills,Textiles & Apparels,522.35,33.69,24.7,30.7,-0.6,0.86,0.15,-5.39,
Lakshya Powertec,Construction,112.13,-37.32,,,25.41,25.52,0.57,18.72,7.34
Lambodhara Text.,Textiles & Apparels,110.1,-3.69,-9.84,17.99,5.6,9.1,0.32,7.15,13.59
Lamosaic India,Consumer Durables,26.72,-53.09,,,5.34,11.05,0.1,-4.16,
Lancer Containe.,Transport Services,246.39,-55.07,-44.51,18.73,-0.76,0.51,0.1,-48.97,
Lancor Holdings,Realty,177.62,1.05,8.46,37.35,2.81,10.49,0.64,-9.61,
Landmarc Leisur.,Finance,213.64,45.33,34.3,41.82,0.98,0.66,0.13,32.2,
Landmark Cars,Automobiles,1713.74,-7.32,-9.3,,3.09,7.99,1.48,23.98,69.02
Landmark Global,Leisure Services,68.88,-26.65,,,21.14,28.83,0.01,7.71,6.99
Landmark Prop.,Realty,81.56,-21.45,-1.44,24.9,-8.9,-8.51,0,3.92,479.76
Larsen & Toubro,Construction,588527.88,35.22,26.46,23.77,16.55,14.49,1.32,11.71,34.5
Lasa Supergeneri,Pharmaceuticals & Biotechnology,39.98,-61.93,-31.15,-34.71,1.01,-1,0.13,-48.93,148.07
Last Mile Enter.,Finance,209.55,-73.22,-19.31,21.77,5.65,8.02,0.11,1006.97,14.78
Latent View,IT - Software,6977.51,-12.02,-0.88,,11.58,15.22,0.02,27.49,35.09
Latteys Industri,Industrial Products,128.68,24.96,-15.43,42.72,9.35,12.91,0.37,40.1,47.31
Laurus Labs,Pharmaceuticals & Biotechnology,58077.77,104.06,50.73,24.22,7.45,9.15,0.46,27.46,68.87
Laxmi Cotspin,Textiles & Apparels,26.32,-31.63,-8.21,9.5,-7.63,-0.31,0.65,-5.4,15.39
Laxmi Dental,Healthcare Equipment & Supplies,1058.41,-43.24,,,21.88,19.2,,13.31,39.45
Laxmi Goldorna,Consumer Durables,1437.41,13.98,212.09,102.97,19.04,18.38,1.29,-43.75,152.11
Laxmi India Fin.,Finance,492.62,,,,15.66,13.71,2.57,41.93,11.24
Laxmi Organic,Chemicals & Petrochemicals,3490.4,-28.28,-21.66,,5.93,8.56,0.17,-8.04,43.86
Laxmipati Engg,Industrial Manufacturing,143.75,,,40.05,122.18,18.57,1.73,18.57,15.47
LCC Infotech,Other Consumer Services,59.5,-25.04,37.7,,-65.71,-26.46,4.91,620,
Le Lavoir,Commercial Services & Supplies,97.48,-3.71,71.25,44.86,,,,,56.67
Le Merite Export,Textiles & Apparels,1137.9,52.23,104.05,,4.74,7.8,0.64,-11.64,87.26
Le Travenues,Leisure Services,7456.51,27.25,,,9.74,12.62,0.04,50.81,126.57
Lead Financial S,Finance,6.14,-23.75,-6.11,33.26,2.67,4.67,0,16.67,47.23
Lead Reclaim,Industrial Products,55.78,5.13,32.82,,9.34,13.15,1,108.94,28.46
Leading Lea. Fin,Finance,125.11,-63,-9.45,-8.75,5.56,7.82,2.44,384.03,4.41
Lee & Nee Soft.,IT - Services,44,-12.82,6.78,41.32,0.58,0.95,0,4.48,176
Leela Palaces Hotels,Leisure Services,15146.66,,,,13.14,11.98,0.28,11.02,42.75
Lehar Footwears,Consumer Durables,411.47,10.6,41.23,58.8,10.21,12.44,0.46,118.29,18.94
Lemon Tree Hotel,Leisure Services,9005.47,-6.61,12.99,22.83,18.45,12.98,1.67,13.91,37.51
Lenskart Solut.,Retailing,93315,,,,4.32,5.57,0.45,22.57,246.3
Leo Dryfruits,Food Products,96.61,1.09,,,16.67,22.39,0.48,40.44,7.47
Lerthai Finance,Other Construction Materials,39.78,27.45,13.47,17.25,-0.2,-1.48,0,-70.99,
Lesha Industries,Commercial Services & Supplies,21.91,-35.83,-40.03,5.12,0.62,0.36,0,-90.94,52.17
Lexoraa Ind,Industrial Manufacturing,7.53,47.46,58.11,42.79,,-130.3,,892.59,
Lexus Granito,Consumer Durables,78.5,-1.24,-13.55,16.31,-73.54,-1.77,3.33,-13.08,
LG Electronics,Consumer Durables,107856.93,,,,45.18,56.83,0.07,14.12,52.43
LGB Forge,Auto Components,162.93,-29.7,-10.06,11.05,-18.2,-1.79,1.4,12.82,
LGT Business,Leisure Services,58.22,,,,53.05,50.12,0.19,12.39,9.2
Libas Consumer,Textiles & Apparels,26.45,-19.29,-9.95,-18.82,3.3,4.62,0.15,11.16,6.66
Liberty Shoes,Consumer Durables,411.38,-21.64,4.35,10.87,7.2,9.99,0.73,8.84,35.22
Libord Finance,Finance,28.54,-5.51,39.48,21.38,-3.18,-2.81,0,125.49,54.88
Libord Securitie,Finance,8.5,-14.96,8.85,8.13,-17.09,-17.09,0,-87.8,
LIC Housing Fin.,Finance,29579.64,8.22,14.65,4.42,16.05,8.93,7.08,4.29,5.39
Life Insurance,Insurance,537245.3,14.71,12.18,,45.72,53.13,0,6.75,10.13
Likhami Consult.,Commercial Services & Supplies,379.24,-34.7,40.37,43.38,0.63,0.86,0,13.04,1264.13
Likhitha Infra.,Construction,591.28,-40.64,-14.06,1.48,20.29,27.61,0,-5.5,11.26
Lime Chemicals,Chemicals & Petrochemicals,9.45,-20.86,-9.74,-5.27,11.96,5.63,2.77,-37.57,
Linc,Household Products,638.74,0.06,-6.95,20.18,17.63,22.43,0.08,5.33,16.98
Lincoln Pharma.,Pharmaceuticals & Biotechnology,1263.98,21.11,23.66,21.87,12.82,17.28,0,9.1,14.39
Linde India,Chemicals & Petrochemicals,57393.44,13.55,21.73,32.58,12.33,16.9,0.02,-0.61,98.35
Link Pharma Chem,Chemicals & Petrochemicals,12.12,-21.89,-12.87,0,-7.81,-3,0.62,0.96,86.57
Lippi Systems,Industrial Manufacturing,32.91,129.48,54.7,47.43,-3.35,-4.88,0.1,0,7.97
LKP Finance,Finance,1520.88,213.96,136.81,56.42,1.07,0.81,0.1,-84.26,74.19
LKP Securities,Capital Markets,120.59,-30.34,4.6,19.11,12.77,18.4,0.71,-17.2,11.33
Lloyds Engineeri,Industrial Manufacturing,5600.08,-1.77,41,121.82,15.92,,0.16,,34.72
Lloyds Enterpris,Metals & Minerals Trading,6496.75,23.66,94.88,84.64,2.48,5.97,0.2,14.51,25.46
Lloyds Luxuries,Leisure Services,121.78,-27.14,5.04,,-10.36,-9.68,0,18.4,
Lloyds Metals,Minerals & Mining,67218.79,20.75,64.2,157.36,31.45,38.28,1.06,73.48,27.29
LMW,Industrial Manufacturing,15771.31,8.07,10.88,18.21,3.04,4.48,0,-3.18,129.98
Lodha Developers,Realty,98715.28,-12.61,32.76,,14.69,15.62,0.45,19.25,29.54
Logica Infoway,Retailing,356.31,-14.52,73.75,,14.09,14.3,1.4,10.39,26.03
Logiciel Soluti.,IT - Software,28.88,,,,32.77,44.99,0,23.44,5.28
Lokesh Mach.,Industrial Manufacturing,370.16,14.62,18.68,38.94,0.26,4.87,0.71,-30.4,200.09
Longspur Intl,Finance,9.56,24.56,-13.75,4.3,2.05,3.29,0.12,-49.28,9.28
Looks Health,Healthcare Services,10.41,99.4,17.24,11.39,0.13,0.4,0,,49.57
Lords Chloro,Chemicals & Petrochemicals,358.57,-7.25,-9.49,33.56,3.25,5.05,0.73,47.19,13.43
Lords Ishwar,Leisure Services,10.82,-12.24,15.78,24.3,6.11,6.96,1.16,-8.07,47.04
Lorenzini Appar.,Textiles & Apparels,129.9,-32.68,10.99,76.42,13.92,17.01,0.26,2.42,
Lotus Chocolate,Food Products,1006.08,-20.91,54.55,115.27,33.79,23.6,3.08,26.57,167.96
Lotus Eye Hospit,Healthcare Services,229.15,85.82,20.68,25.96,1.22,2.99,0.08,5.5,352.54
Lovable Lingerie,Textiles & Apparels,110.14,-17.67,-12.54,-3.49,1.16,-1.74,0.02,10.77,15.51
Loyal Equipments,Industrial Manufacturing,199.72,-7.86,38.91,44.38,26.5,28.26,0.11,4.83,25.38
Loyal Textile,Textiles & Apparels,106.86,-2.74,-29,-13.77,-40.37,-11.1,1.37,-27.37,
LTIMindtree,IT - Software,132295.32,-4.37,-2.02,4.34,21.53,27.63,0.1,9.85,25.54
Ludlow Jute,"Paper, Forest & Jute Products",214.22,5.43,34.3,19.97,-6.34,-0.56,0.83,43.42,12.38
Lumax Auto Tech.,Auto Components,11978.04,251.37,89.2,65.2,20.25,19.02,1.05,40.63,46.62
Lumax Industries,Auto Components,5652.92,157.06,53.26,31.92,19.32,16.39,1.21,21.82,32.39
Lupin,Pharmaceuticals & Biotechnology,105206.78,20.86,51.54,17.61,20.62,21.3,0.32,18.86,21.15
Lux Industries,Textiles & Apparels,2708.71,-30.23,-12.25,-12.43,9.81,12.54,0.29,16.51,23.9
Luxury Time,Consumer Durables,52.53,,,,26.33,33.09,0.08,20.23,12.54
LWS Knitwear,Commercial Services & Supplies,20.24,-13.35,30.66,56.14,11.99,12.82,0.56,20.41,7.94
Lyka Labs,Pharmaceuticals & Biotechnology,222.53,-40.29,-18.51,15.22,9.31,9.91,0.31,0.76,
Lykis,Commercial Services & Supplies,99.03,42.97,-7.25,13.91,9.24,10.07,1.2,-13.32,25.86
Lynx Machinery,Industrial Manufacturing,18.34,11.72,25.36,48.39,,-6.07,,,
Lyons Corporate,Finance,9.82,-47.58,,,2.72,6.1,0.89,24.71,196.4
Lypsa Gems,Consumer Durables,15.39,-10.46,1.45,0.66,-62.85,-45.08,0,48.37,
M & B Engineer.,Construction,1699.59,,,,28.49,26.06,0.19,24.34,17.89
M & M,Automobiles,422476.49,31.42,38.74,32.9,18.05,13.93,1.53,22.54,26.44
M & M Fin. Serv.,Finance,52026.62,42.16,14.67,13.3,10.9,8.77,4.9,13.97,21.04
M B Agro Prod.,Fertilizers & Agrochemicals,4107.51,62.42,13.55,87.27,15.23,18,0.68,94.82,39.24
M E T S,Industrial Manufacturing,73.62,-16.08,42.99,13.73,13.45,16.68,0.08,0.31,12.13
M K Exim India,Retailing,219.36,-21.22,-1.07,50.66,20.11,28.36,0.02,11.68,12.67
M K Proteins,Agricultural Food & other Products,190.69,-25.62,-40.67,42,12.38,12.87,0.03,72.12,22.46
M M Forgings,Auto Components,2216.61,35.89,2.38,14.4,14.5,11.88,1.31,-1.37,25.6
M M Rubber,Auto Components,40.44,-6.89,-9.99,1.72,-22.66,-10.55,0.75,-4.68,
M P Agro Inds.,Fertilizers & Agrochemicals,5.59,14.9,12.34,17.31,0.85,1.35,0,-100,139.75
M P K Steels,Industrial Products,134.39,,,,27.78,26.06,0.74,10.69,26.88
M R P L,Petroleum Products,34464.85,85.87,56.45,35.28,0.45,4.38,0.81,-6.4,15.82
M T N L,Telecom - Services,1873.62,-29.24,13.39,17.2,,-6.76,,-22.2,
M.V.K. Agro,Agricultural Food & other Products,2957.76,1342.49,,,11.07,9.9,0.89,5.38,173.48
Maan Aluminium,Non - Ferrous Metals,813.15,51.36,40.87,46.09,10.49,12.13,0.44,-0.21,53.25
Mac Charles(I),Leisure Services,797.4,15.01,19.54,23.06,-80.5,-1.47,16.21,677.89,
Mac Hotels,Leisure Services,47.87,7.15,48.42,,4.74,9.29,0.06,-1.29,97.69
Macfos,Retailing,893.14,29.58,75.72,,36.72,41.78,0.51,15.31,43.19
Mach Conferences,Other Consumer Services,251.18,-34.81,,,16.75,21.92,0.05,-0.64,18.79
Machhar Industri,Chemicals & Petrochemicals,24.74,7.09,,,1.41,3.55,0.13,-10.04,49.48
Machino Plastics,Auto Components,165.78,23.57,36.21,24.24,14.5,11.84,3.33,25.44,36.2
Macobs Technolo.,Personal Products,211.09,38.14,,,13.71,18.39,0.07,33.48,96.39
Macpower CNC,Industrial Manufacturing,994.11,30.3,48.79,59.39,19.85,27.07,0.01,23.62,30.23
Madhav Copper,Industrial Products,172.36,53.31,35.02,-7.3,10.88,8.5,0.87,96.25,51.92
Madhav Infra,Construction,232.92,-19.25,28,10.06,12.55,15.65,0.81,22.9,8.32
Madhav Marbles,Consumer Durables,34.59,-2.4,1.06,-8.71,-0.6,0.12,0.08,-16.67,
Madhucon Project,Construction,34.91,-31.05,1.68,-7.41,,-27.56,,-41.09,
Madhur Inds,Agricultural Food & other Products,3.18,13.25,17.47,12.02,-124.23,-123.74,0,,
Madhusudan Inds.,Agricultural Food & other Products,17.03,-30.65,14.04,21.41,5.56,4.1,0,4.76,
Madhusudan Masa,Food Products,199.18,-6.36,,,13.58,,0.74,,11.05
Madhusudan Sec.,Finance,41.6,5.37,15.3,81.35,-0.7,-0.69,0,1077.27,13.64
Madhuveer Com,Entertainment,646.06,3.77,181.64,154.82,-4.49,-1.08,0.06,68.73,734.16
Madhya Prad. Tod,Media,20.65,36.76,-2.46,30.59,7.19,9.08,0.02,16.36,6.09
Madras Fertilize,Fertilizers & Agrochemicals,1086.95,-4.56,5.91,18.94,,10.78,23.64,-21.47,153.31
Maestros Medi.,,2975.81,,,,,-19.11,,-86.76,
Mafatlal Inds.,Textiles & Apparels,905.72,4.32,39.65,46.48,12.94,10.3,0.08,10.1,9.41
Mafia Trends,Retailing,3.1,-51.12,-23.99,,5.29,7.59,0.45,139.13,4.08
Magadh Sugar,Agricultural Food & other Products,647.72,0,13.18,33.39,13.8,12.7,0.41,4.29,7.39
Magellanic Cloud,IT - Software,1477.38,-53.89,-0.13,48.87,22.23,22.91,0.47,12.21,13.62
Magenta Life,Consumer Durables,9.41,-35.53,,,0.77,2.61,0.21,-7.3,94.1
Magna Electrocas,Industrial Products,414.49,24.38,48.35,42.25,19.38,25.07,0.09,16.17,20.08
Magnum Ventures,"Paper, Forest & Jute Products",148.86,-24.76,-10.85,30.86,1.48,3.68,0.39,11.6,
Magnus Steel,Electrical Equipment,324.48,1291.69,196.33,132.07,,105.56,2.65,311.19,101.08
Magson Retail,Food Products,159.15,34.95,,,2.19,3.24,0.15,13.72,548.79
Mah. Corporation,Commercial Services & Supplies,22.97,-45.59,-37.97,-6.58,0.18,0.21,0,-97.19,
Mah. Scooters,Finance,15153.14,43.6,43.87,29.25,0.61,0.59,0,72.32,48.79
Mah. Seamless,Industrial Products,7530.33,-8.29,22.38,31.48,12.9,16.63,0,-5.01,8.96
Maha Rashtra Apx,Finance,128.67,-14.01,-5.6,2.84,71.2,72.01,0,-70.03,11.11
Mahalaxmi Fab.,Textiles & Apparels,22.77,-26.5,,,-2.5,0.13,0.66,-27.3,11.38
Mahalaxmi Rubtec,Textiles & Apparels,183.78,-18.7,-5.7,42.74,27.53,30.12,0.19,16.72,8.76
Mahalaxmi Seam.,Industrial Products,4.57,-42.68,5.01,14.53,,45.71,,-2.66,14.28
Mahamaya Lifesc.,Fertilizers & Agrochemicals,365.24,,,,34.9,25.87,1.18,63.48,26
Mahamaya Steel,Industrial Products,1246.47,217.34,131.48,51.69,5.01,7.15,0.4,12.14,119.51
Mahan Industries,Commercial Services & Supplies,4.32,69.73,179.33,112.75,-1.22,-0.26,0.66,113.68,
Mahanagar Gas,Gas,12048.91,-1.43,10.5,1.04,17.72,22.89,0.03,20.2,12.46
Mahasagar Travel,Transport Services,5.27,-2.19,21.34,17.43,,16.61,,-4.86,6.51
Mahaveer Infoway,IT - Software,4.72,9.04,-4.08,31.95,2.01,5.35,0.02,-23.45,
Mahendra Realtor,Construction,110.41,,,,23.35,25.27,0.11,22.94,9.47
Maheshwari Logi.,Diversified,122.15,-30.2,-11.36,-13.27,9.27,12.62,1.36,7.96,6.52
Mahickra Chem.,Chemicals & Petrochemicals,150.26,76.19,24.14,18.55,7.33,9.86,0.41,16.25,71.55
Mahindra EPC,Industrial Manufacturing,331.57,2.13,6.49,-4.69,4.27,6.85,0.21,21.39,21.2
Mahindra Holiday,Leisure Services,5742.07,-3.38,1.29,13.15,19.6,9.73,4.75,5.28,60.54
Mahindra Life.,Realty,7629.14,22.84,1.7,16.76,2.19,2.2,0.1,37.27,28.11
Mahindra Logis.,Transport Services,4105.33,82.59,6.98,-1.26,-7.96,5.64,0.59,13.22,
Mahip Industries,Industrial Products,38.38,,,37.9,,,,6505,479.75
Maiden Forgings,Industrial Products,121.13,35.5,,,8.21,11.35,0.87,-7.15,29.54
Maithan Alloys,Ferrous Metals,2922.22,15.5,2.79,10.64,21.99,27.95,0.11,13.58,6.6
Maitreya Medica.,Healthcare Services,134.16,-25.54,,,7.17,10.77,0.14,-2.89,838.5
Maitri Enterp.,Non - Ferrous Metals,12.02,-30.65,-1.77,34.87,20.82,15.83,1.53,-13.1,109.27
Majestic Auto,Commercial Services & Supplies,312.78,-2.91,30.52,21.39,1.11,4.05,0.02,-28,16.47
Makers Labs.,Pharmaceuticals & Biotechnology,86.32,2.49,11.87,-9.97,3.36,4.25,0.11,21,70.75
Maks Energy,Industrial Products,20.28,-1.52,2.02,,4.33,9.49,1,-15.68,31.69
Mallcom (India),Industrial Products,722.34,-1.59,17.16,30.55,13.76,14.41,0.37,12.49,22.1
Malpani Pipes,Industrial Products,77.33,12.99,,,26.24,23.27,0.59,22.53,8.8
Malu Paper,"Paper, Forest & Jute Products",55.49,0.06,2.91,3.64,-2246.3,-4.11,,23.17,
Mamata Machinery,Industrial Manufacturing,1077.21,20.26,,,26.89,34.92,0.04,16.4,25.54
Man Industries,Industrial Products,3465.07,116.62,74.73,43.28,10.01,15.98,0.29,17.03,18.45
Man Infra,Construction,4292.59,-28.12,10.41,34.98,17.49,23.52,0.01,-29.91,18.29
Manaksia,Industrial Products,390.58,-9.61,-21.18,1.97,7.48,11.82,0.06,41.38,7.3
Manaksia Alumi.,Non - Ferrous Metals,185.07,47.16,9.94,26.99,4.56,10.53,1.94,11.34,29.28
Manaksia Coated,Industrial Products,1248.1,50.17,92.24,58.07,8.43,15.6,0.31,14.36,30.72
Manaksia Steels,Ferrous Metals,379.57,17.89,11.13,21.75,3.67,4.06,0.63,70.6,15.96
Manali Petrochem,Chemicals & Petrochemicals,953.05,-9.59,-6.55,-3.63,2.92,4.66,0.14,4.01,14.16
Manappuram Fin.,Finance,23975.26,40.95,39.01,10.18,10.14,11.03,3.02,-8.11,58.74
Manas Polymers,Industrial Products,42.77,,,,53.06,32.46,0.86,562.61,9.97
Manav Infra,Construction,59.22,260,79.51,61.63,103.48,39.91,0.85,81.98,17.32
Manba Finance,Finance,607.55,-6.83,,,13.27,13.07,3.78,27.22,14.38
Manbro Indust.,Consumer Durables,431.4,-21.27,112.22,122.95,3.45,3.37,0,-100,310.36
Mandeep Auto,Auto Components,19.64,-22.45,,,6.59,6.98,0.05,2.24,6.34
Mangal Compuso.,Commercial Services & Supplies,65.31,17.07,,,13.04,17.24,0.47,50.3,14.68
Mangal Credit,Finance,355.88,4.66,17.71,23.66,9.93,12.17,1.75,35.78,28.13
Mangal Electrica,Electrical Equipment,649.58,,,,34.13,30.43,0.12,22.15,14.65
Mangalam Alloys,Industrial Products,105.04,25.33,,,9.74,15.73,1.19,25.15,4.35
Mangalam Cement,Cement & Cement Products,2499.09,26.36,51.92,26.71,5.7,9.87,0.82,9.63,30.71
Mangalam Drugs,Pharmaceuticals & Biotechnology,46.03,-68.36,-35.24,-24.41,4.71,8.03,0.74,-31.37,
Mangalam Global,Agricultural Food & other Products,363.5,-21.44,6.78,19.8,14.57,16.75,1.03,24.92,13.12
Mangalam Industr,Finance,136.81,-47.83,-18.9,10.23,4.25,6.97,0,3.2,159.08
Mangalam Organic,Chemicals & Petrochemicals,353.5,2.69,0.14,-5.4,4.39,7.48,1.14,27.49,12.81
MANGALAM SEEDS,Agricultural Food & other Products,146.15,-24.55,-4.42,13.91,13.75,12.19,0.67,14.6,14.16
Mangalam World.,Metals & Minerals Trading,793.01,88.03,36.06,,13.13,14.45,0.83,30.19,19.2
Manglam Infra,Commercial Services & Supplies,26.66,-45.21,,,9.58,12.82,0.06,30.39,19.46
Manilam Industries,,114.59,,,,24.4,17.42,1.84,1.54,15.57
Manipal Fin. Cor,Finance,8.32,-18.34,11.83,12.14,,,,-4.76,
Mankind Pharma,Pharmaceuticals & Biotechnology,92782.07,-1.88,,,14.68,15.98,0.55,20.46,49.96
Manoj Ceramic,Consumer Durables,106.91,-57.47,,,16.23,17.73,0.45,51.22,8.75
Manoj Jewellers,Consumer Durables,41.33,,,,39.16,28.01,0.13,37.5,5.07
Manoj Vaibhav,Consumer Durables,767.25,-19.53,,,15.03,15.79,0.53,21.09,6.69
Manomay Tex Indi,Textiles & Apparels,403.3,40.1,18.6,49.37,13.89,12.74,2.34,-2.36,22.43
Manor Estates,Consumer Durables,8.28,6.57,24.72,40.9,,,,-100,
Manorama Indust.,Food Products,8516.23,49.67,96.34,53.73,28.03,23.03,0.66,81.04,39.43
Manraj Hsg.Fin.,Finance,23.9,-11.19,19.37,24.7,,1.76,,,
Mansi Fin.(Chen),Finance,26.31,16.98,17.33,19.37,8.26,9.42,0.59,27.26,6.21
Mantra Capital,Finance,49.5,-0.13,3.26,12.7,-43.88,-36.86,1.31,629.82,
Manugraph India,Industrial Manufacturing,45.96,-0.85,-3.47,3.13,-22.53,-15.63,0.1,98.7,11.64
Mapro Industries,Construction,42.71,,,,1.04,1.39,0,,133.47
Maral Overseas,Textiles & Apparels,187.25,-29.16,-3.66,10.69,-20.17,1.89,3.5,-3.37,
Marathon Nextgen,Realty,2919.65,9.86,18.46,39.99,13.16,11.95,0.03,-9.51,13.7
Marble City,Other Construction Materials,265.49,-13.03,104.18,77.85,3.95,,1.62,,26.5
Marc Loire,Consumer Durables,49.7,,,,56.04,72.75,0.04,13.41,13.81
